Model,Type,Threshold,Accuracy,Precision,Recall,F1,AUC
Random Forest,Ensemble,0.5,0.8644354838709677,0.8620637558543587,0.881371640407785,0.8716107843886046,0.9376508474251116
XGBoost,Ensemble,0.5,0.8559677419354839,0.8566646378575776,0.869632375656472,0.863099800705197,0.9346179598843987
LightGBM,Ensemble,0.5,0.8537096774193549,0.8548583612549497,0.8670064874884152,0.8608895705521472,0.9343162259359618
Bi-LSTM + attention,Deep learning,0.5,0.8145161290322581,0.8320076360165447,0.8078467717021934,0.8197492163009404,0.8977074084650866
MiniLM-L12 (zero-shot),Pre-trained,0.4509,0.7936290322580645,0.7606871753895326,0.8822984244670992,0.8169920617893156,0.8791893605732153
E5-large (zero-shot),Pre-trained,0.8591,0.7690322580645161,0.7342938733125649,0.8738029039233859,0.7979968966003668,0.8628802314322322
"Score average (MiniLM, TF-IDF, Jaccard)",Simple ensemble,0.1964,0.7471774193548387,0.7092367464594561,0.8741118319431572,0.7830900159136511,0.8318803133820883
LSTM baseline,Deep learning,0.5,0.6856451612903226,0.6797376500139548,0.7523941921532283,0.7142228739002933,0.7518092959078976
LaBSE (zero-shot),Pre-trained,0.5287,0.6469354838709678,0.6189827429609446,0.8421377818968181,0.7135191728831305,0.7421656172184781
