Model,Type,Threshold,Accuracy,Precision,Recall,F1,AUC
LightGBM,Ensemble,0.5,0.8668335621416458,0.863960113960114,0.89732208906643,0.880325132447928,0.9402144935249919
XGBoost,Ensemble,0.5,0.865783735766777,0.8643316654753396,0.8945110223405829,0.8791624254762251,0.9401022544725677
Random Forest,Ensemble,0.5,0.8591617540176048,0.8555224727066496,0.8927356117768901,0.873732985809441,0.9323367405179376
MiniLM-L12 (zero-shot),Pre-trained,0.4919,0.805943632399257,0.7874109263657957,0.8828229027962716,0.832391713747646,0.8905323958761481
E5-large (zero-shot),Pre-trained,0.8721,0.7934264717758217,0.7819084686619245,0.8619618286728806,0.8199859254046447,0.8749495825280743
Bi-LSTM + attention,Deep learning,0.5,0.7943955422757005,0.7939986043265875,0.8416925580707205,0.8171502441827061,0.8786744248277993
"Score average (MiniLM, TF-IDF, Jaccard)",Simple ensemble,0.2075,0.7665347654041832,0.734140435835351,0.8971741381861222,0.8075104867168253,0.8410725270789045
LaBSE (zero-shot),Pre-trained,0.5219,0.6650246305418719,0.6389864792930906,0.8880011836070425,0.7431896978702328,0.763376269604807
LSTM baseline,Deep learning,0.5,0.697488492287814,0.7009470454848606,0.7774818760171623,0.7372334455667789,0.7521186255636814
