Model,Load_s,ms_per_pair,Peak_VRAM_GB,Device
MiniLM-L12,4.027665700006764,0.8154104999848641,0.48049449920654297,NVIDIA GeForce RTX 5070 Ti Laptop GPU
LaBSE,4.493611200014129,1.801979800016852,1.8161602020263672,NVIDIA GeForce RTX 5070 Ti Laptop GPU
E5-large,4.440540600015083,6.241578200017102,2.1778993606567383,NVIDIA GeForce RTX 5070 Ti Laptop GPU
Bi-LSTM + attention,0.03319779998855665,0.1649531000002753,0.03279542922973633,NVIDIA GeForce RTX 5070 Ti Laptop GPU
Full ensemble,3.7285581000032835,1.4918727000185754,0.48713064193725586,NVIDIA GeForce RTX 5070 Ti Laptop GPU
