Model,F1,F1_CI_low,F1_CI_high,Diff_vs_MiniLM,Diff_CI_low,Diff_CI_high,P(diff<=0)
LightGBM,0.8798953716486231,0.8724355038157764,0.886101916084038,0.04745188760123271,0.04188084164111442,0.052647600779387724,0.0
XGBoost,0.8791624254762251,0.8716954932536863,0.8854732725651598,0.046765375422036855,0.04107894040587872,0.051824461808549424,0.0
Random Forest,0.8734213964290899,0.8661024651217787,0.8798974438114533,0.04096774662795323,0.03537101414433082,0.046583192700908944,0.0
MiniLM-L12 (zero-shot),0.832391713747646,0.8246311494891215,0.8396141531104443,0.0,0.0,0.0,
Bi-LSTM + attention,0.8191756637468595,0.8123622713886292,0.8262431282577247,-0.013334436537537674,-0.0210000892258908,-0.005562388299882574,0.999
Score average,0.8075104867168253,0.79964594208015,0.815065934645183,-0.02491081811682531,-0.02945220542167481,-0.020238971270426374,1.0
