Source,Test_pairs,Positive_rate,MiniLM_F1,MiniLM_Acc,Ensemble_F1,Ensemble_Acc,Ensemble_AUC
ml_paraphrase,2325,0.7501075268817204,0.9720733427362482,0.9574193548387097,0.9767309875141884,0.9647311827956989,0.9894366127682419
nli_triplet,9833,0.4977117868402319,0.7856734616117356,0.7711786840231872,0.8480288895576287,0.8459269805756128,0.9223653418456291
stsb_tr,225,0.5377777777777778,0.8163265306122449,0.76,0.7925925925925926,0.7511111111111111,0.8482994278448823
all,12383,0.5458289590567714,0.832391713747646,0.805943632399257,0.8798953716486231,0.8665105386416861,0.9401162892866937
